id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines
c20-english/ep30107/Z300605469,5,0,14
english/lloydcha/Z300416741,13,8,14
english/wordswwi/Z300543374,10,8,14
american/am0338/Z200155636,12,12,14
c20-american/am22124/Z400297878,5,2,14
english/sewardan/Z300482282,14,9,14
english/wordswwi/Z300543607,12,12,14
faber/fa20402/Z200564653,14,13,15
english/edwards2/Z200344698,11,9,14
english/popealex/Z300463873,14,11,14
english-ed2/ep2518/Z300668737,20,14,20
c20-english/ep58001/Z300607885,7,3,14
faber/fa20402/Z200564738,14,10,16
english/sigerso1/Z200577561,11,9,16
english/sewardan/Z300482283,10,5,14
c20-english/ep56001/Z400307769,19,15,20
english/procterb/Z300466594,16,12,16
american/am0092/Z200146065,12,10,14
english-ed2/warrensi/Z200681259,13,12,14
english/wattsisa/Z300522507,20,16,20
english/campbel2/Z300624668,15,12,18
english/wordswwi/Z400543252,10,6,14
american/am0027/Z300143687,15,8,15
c20-american/am30130/Z400369566,10,10,15
american/am0977/Z500178489,12,10,16
english/wardedwa/Z200518336,15,12,16
american/am0338/Z200157225,12,12,15
c20-american/am20104/Z300219081,6,0,16
c20-english/ep20143/Z300600070,14,9,20
english/bishopsa/Z300280523,14,9,15
english/wattsisa/Z300522535,15,12,16
c20-american/am22124/Z300298134,13,8,18
english-ed2/ep2090/Z300626922,13,12,14
english/hemansfe/Z300391864,13,11,14
c20-english/ep30107/Z300605451,2,0,15
english-ed2/ep2192/Z200649975,13,6,16
english-ed2/ep2495/Z200666400,7,6,20
english/finchann/Z200374330,16,10,16
c20-american/am30165/Z300453874,10,6,14
american/am0882/Z300175181,12,6,16
c20-american/am22124/Z400297856,5,2,16
english-ed2/ep2518/Z300668751,19,12,20
c20-american/am20129/Z300226826,9,9,14
english-ed2/ep2156/Z300627976,16,10,16
english/miscell3/Z200441050,15,12,15
american/am0027/Z200143190,13,6,14
c20-english/ep20016/Z200568400,7,3,16
c20-american/am20028/Z400209366,10,2,16
english/flatmant/Z200374625,14,12,20
english/congreve/Z200319383,14,8,16
c20-american/am22206/Z500249481,10,2,13
english/sharpwil/Z300483188,17,12,18
english/flatmant/Z200374688,16,14,20
english/wesleych/Z300525525,15,14,20
english/wordswwi/Z300543311,14,14,14
c20-english/ep30176/Z300606997,13,0,17
c20-english/ep30092/Z400604439,6,0,17
english/crowewil/Z300325199,20,12,20
english/fawkesfr/Z400373106,16,16,16
english/wallered/Z200516946,19,12,20
english/tupperma/Z200513980,14,10,14
american/am1013/Z300181483,10,10,15
c20-english/ep20152/Z200586115,6,4,16
english/clarejoh/Z200646637,15,4,16
modern/car2701/Z300552193,11,11,14
american/am0685/Z200170159,12,10,16
c20-american/am20133/Z300228331,4,0,14
american/am0027/Z200143189,14,12,14
english-ed2/ep2221/Z300652129,13,13,14
c20-american/am22041/Z300231467,7,0,13
english/youngedw/Z300545561,10,8,14
c20-american/am22041/Z300231847,10,3,17
english/lambchar/Z200411060,14,12,14
english/stanley1/Z200496317,19,14,20
c20-african-american/da20096/Z200331303,3,0,15
faber/fa1801/Z200563177,6,0,14
c20-english/ep30092/Z400604437,7,0,14
c20-english/ep17001/Z300303188,6,2,15
c20-american/am20114/Z300220974,10,6,13
english/reynolds/Z300473394,11,10,14
english/campbel2/Z300624645,16,11,20
english/clarejoh/Z400314159,16,2,20
english/cowperwi/Z200323322,12,7,14
c20-american/am30194/Z200227427,11,0,16
english/smithcha/Z300488920,12,8,14
english/wallered/Z200516967,10,10,14
english/bromeale/Z300287946,9,4,15
c20-american/am20104/Z300219080,2,2,15
english/mackaych/Z300422438,8,6,16
english/austinal/Z200546100,14,14,14
c20-american/am20114/Z300221160,14,10,20
english-ed2/ep2609/Z200674649,14,13,14
english-ed2/ep2518/Z400668777,13,10,14
english/murrayro/Z200448940,14,12,16
c20-english/ep20142/Z200584719,11,9,15
english-ed2/ep2518/Z300668774,14,12,14
c20-american/am20094/Z300216456,8,0,17
c20-american/am20007/Z400202906,17,15,20
african-american/lambertm/Z200411302,9,0,20
c20-english/car1702/Z200296559,14,12,16
english/whitehen/Z300535099,14,14,14
english-ed2/ep2515/Z400668125,13,6,16
english/rossetdg/Z300478098,11,11,14
english-ed2/ep2198/Z300650281,15,8,20
english-ed2/ep2196/Z400630400,4,0,13
english/bronteum/Z200133333,14,10,16
english/wattsisa/Z300522514,16,8,16
english-ed2/ep2090/Z300627002,11,11,15
english/wattsisa/Z300523056,16,4,16
english/blakewil/Z300282337,6,0,14
american/am0214/Z300151335,11,2,16
american/am1327/Z200199408,13,12,14
c20-american/am23086/Z300255953,5,0,16
english/southeyr/Z200495558,5,0,14
english-ed2/ep2218/Z400651197,13,10,14
modern/ent0801/Z300576314,15,11,17
modern/ent2601/Z300573936,13,13,16
faber/fa1801/Z200563168,5,2,15
english/flatmant/Z200374631,18,17,18
c20-english/ep20105/Z200580028,6,6,14
english/murrayro/Z200448910,14,8,14
c20-english/shapcott/Z200610609,9,0,15
english-ed2/ep2379/Z300657993,17,10,20
c20-american/am23086/Z300255981,10,2,20
english/procterb/Z300466946,11,11,14
c20-english/ep56001/Z400307875,16,16,17
english/wattsisa/Z400523005,14,8,16
english/colerhar/Z400316396,14,13,14
english/rossetdg/Z500478549,11,7,14
c20-american/am30242/Z400570345,7,4,15
english-ed2/tayloran/Z200504209,17,14,20
english/keatsjoh/Z200407942,14,11,14
english/wadethom/Z300516497,14,9,14
english-ed2/ep2640/Z200677864,16,14,16
english/wattsisa/Z300522478,14,7,20
english/wordswwi/Z300543634,14,9,14
english/stanley1/Z200496098,9,7,16
c20-american/am23086/Z300256324,5,0,18
c20-american/am22124/Z300298106,8,0,14
american/am0027/Z300143160,12,11,14
english/rossetch/Z300477741,14,10,14
c20-african-american/da20081/Z200330387,8,4,17
english/procterb/Z300466621,9,4,15
english/clarejoh/Z300313781,11,8,14
faber/fa20502/Z200564837,15,0,20
faber/fa1801/Z300563140,5,2,14
modern/car4201/Z300554232,12,0,18
english/behnaphr/Z300276368,15,7,16
american/am1327/Z200200096,12,12,14
c20-american/am22143/Z200557033,9,0,17
c20-english/oxf0701/Z200586696,8,4,13
modern/car3204/Z300552824,14,4,14
english/pyehenry/Z300467591,14,12,14
c20-english/ep40001/Z300306057,8,0,17
english/wordswwi/Z300543434,11,6,14
english/hardytho/Z200137664,13,10,14
english/bowrings/Z200285874,16,12,20
english/whitehen/Z300535089,10,7,14
english/wallered/Z200516997,14,12,20
modern/car5401/Z300556371,9,6,16
c20-english/ep20105/Z200580039,11,2,20
american/am0987/Z200180475,16,14,16
english/wallered/Z200517003,10,8,14
c20-english/ep20021/Z300578404,6,0,13
c20-american/am20114/Z300220494,9,9,14
english/wordswwi/Z300543715,13,7,14
c20-american/am30028/Z300357955,12,3,17
english/wordswwi/Z400543534,12,8,14
american/am0780/Z200173162,18,16,20
english-ed2/ep2218/Z300651480,14,11,16
english/pringlet/Z300465605,13,11,14
c20-american/am20028/Z400209544,8,4,15
c20-american/am20132/Z400227520,10,2,15
c20-american/am20114/Z300220899,11,2,16
c20-english/ep30113/Z400605779,19,15,20
english/wordswwi/Z400543088,12,11,14
english/crowewil/Z300325189,12,10,14
english/hakethom/Z200384223,12,8,14
c20-american/am30062/Z400363199,7,5,13
english/burnsrob/Z200292999,13,10,16
c20-american/am20114/Z300220715,11,6,17
c20-american/am22065/Z300234416,5,2,14
c20-american/am22124/Z300298061,4,2,14
english/miltonjo/Z200437739,14,13,14
english/bennettw/Z300277561,14,10,14
american/am0481/Z200162049,13,12,14
english/brownth1/Z300290462,16,10,18
c20-american/am30024/Z300357369,8,2,14
english/vaughanh/Z200515577,15,14,20
c20-american/am20097/Z300217044,11,0,17
english-ed2/ep2117/Z300627499,8,8,14
english/scotthom/Z300481123,12,8,14
english/sharpwil/Z200483393,14,13,14
c20-american/am30024/Z300357403,8,0,14
english/yaldenth/Z300545098,8,8,14
english/perronet/Z200460367,15,14,20
english/sedleysi/Z400481834,14,12,16
english/oldiswor/Z300452138,13,12,20
faber/fa1301/Z300560306,6,4,13
faber/fa3001/Z200566691,16,0,20
english-ed2/ep2256/Z300631087,10,10,13
english/sbtailor/Z300493049,15,13,16
c20-english/ep84001/Z300576902,5,0,20
english-ed2/clarejoh/Z200646509,15,12,16
english/pagettho/Z300455037,14,14,14
american/am0666/Z200169647,14,11,14
english/scottwil/Z300481416,9,6,14
english/miscell2/Z200439071,19,16,20
english/wesleych/Z500529461,12,10,16
english-ed2/ep2042/Z200625516,14,9,15
english-ed2/ep2178/Z200648770,12,6,17
english/sblawes/Z300491877,16,12,18
