id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines,line_sim
38d3daba,8,4,13,52.17391304347826
american/am0232/Z300151747,11,10,11,
d3fa5dd1,9,4,11,47.36842105263158
american/am0232/Z300151755,8,4,11,
f4d89e45,8,8,11,52.05479452054795
american/am0232/Z300151802,10,7,15,
6337c841,11,8,15,43.75
american/am0240/Z200152628,15,15,15,
74ce93f4,14,12,15,50.0
american/am0240/Z200152646,10,10,11,
fd1b8a62,10,9,11,43.24324324324324
american/am0240/Z200152989,14,8,15,
068f3b27,14,11,15,50.0
american/am0240/Z300152383,13,10,15,
b2e39b76,13,11,15,44.11764705882353
american/am0254/Z200153099,13,6,15,
ba90cd48,14,10,15,45.90163934426229
american/am0255/Z300153205,8,6,11,
c801806f,10,9,11,41.379310344827594
american/am0255/Z300153210,11,9,13,
3eef87c1,8,6,13,49.411764705882355
american/am0255/Z300153226,10,10,10,
20ab2442,6,2,10,42.69662921348315
american/am0255/Z300153227,10,10,10,
a1e014e8,9,8,10,53.65853658536586
american/am0255/Z300153227,10,10,10,
ae6400e6,8,8,10,49.43820224719101
american/am0255/Z300153227,10,10,10,
4b1f08c1,10,10,10,45.16129032258065
american/am0255/Z300153227,10,10,10,
2b3d6797,6,2,10,50.0
american/am0255/Z300153227,10,10,10,
ccefff22,5,4,10,44.11764705882353
american/am0255/Z300153227,10,10,10,
95d59f1a,6,0,10,44.18604651162791
american/am0255/Z300153228,7,4,10,
5cf2702a,10,6,10,48.78048780487805
american/am0256/Z200153286,7,6,11,
bcb8dc32,7,4,11,53.73134328358209
american/am0256/Z200153286,7,6,11,
01e64bdc,8,0,11,46.37681159420289
american/am0256/Z200153286,7,6,11,
fe6a20e5,6,6,11,51.51515151515152
american/am0256/Z200153286,7,6,11,
ace9104b,0,0,11,40.0
american/am0256/Z200153311,8,7,15,
f5fc7906,12,8,15,37.03703703703704
american/am0256/Z200153381,7,6,11,
69c3e5b0,8,4,11,44.11764705882353
american/am0256/Z200153381,7,6,11,
b314d618,8,6,11,48.57142857142858
american/am0256/Z200153381,7,6,11,
e51e1c22,9,7,11,45.16129032258065
american/am0256/Z200153381,7,6,11,
499b9f68,8,2,11,52.17391304347826
american/am0256/Z200153382,6,6,11,
ede05978,11,8,11,52.94117647058824
american/am0256/Z200153382,6,6,11,
ae89eac1,5,2,11,52.94117647058824
american/am0256/Z200153382,6,6,11,
c5915760,9,6,11,40.0
american/am0256/Z200153382,6,6,11,
25f85457,6,4,11,42.85714285714286
american/am0256/Z200153382,6,6,11,
aec4ae36,9,6,11,46.15384615384615
american/am0256/Z300153379,9,2,15,
ab115d4c,13,8,15,48.38709677419355
american/am0285/Z200153966,4,4,11,
962ceb4c,9,8,11,47.76119402985075
american/am0285/Z200154147,11,6,15,
99861f26,14,14,15,46.15384615384615
american/am0285/Z200154147,11,6,15,
4e8e7178,12,9,15,51.21951219512195
american/am0285/Z200154147,11,6,15,
9ca504ed,10,4,15,60.86956521739131
american/am0285/Z200154147,11,6,15,
749a954d,11,2,15,50.57471264367817
american/am0291/Z200154209,12,6,15,
9a5212ec,11,8,15,45.28301886792453
american/am0291/Z200154209,12,6,15,
80fb338c,15,12,15,49.23076923076923
american/am0291/Z200154209,12,6,15,
44b8f294,11,4,15,45.28301886792453
american/am0291/Z200154209,12,6,15,
468d5709,9,7,15,43.13725490196079
american/am0291/Z200154209,12,6,15,
60266a8b,11,10,15,43.75
american/am0291/Z200154223,8,2,11,
c1ee30d2,8,4,11,46.15384615384615
american/am0291/Z200154223,8,2,11,
05eeb9e5,8,7,11,47.82608695652174
american/am0291/Z200154223,8,2,11,
832d90e5,2,0,11,42.69662921348315
american/am0291/Z200154223,8,2,11,
5d662718,2,2,11,44.21052631578948
american/am0291/Z200154227,14,10,15,
55265c93,6,2,15,43.37349397590361
american/am0291/Z200154254,11,6,11,
1374fe5c,10,8,11,44.230769230769226
american/am0291/Z300154412,11,7,11,
579447a1,8,4,11,49.18032786885246
american/am0291/Z300154412,11,7,11,
36eaeb65,7,6,11,48.97959183673469
american/am0291/Z300154412,11,7,11,
09b4c07f,10,10,11,41.93548387096774
american/am0291/Z300154412,11,7,11,
a85946dc,10,0,11,46.37681159420289
american/am0291/Z300154423,4,2,11,
93964e7a,9,9,11,40.625
american/am0291/Z300154453,8,8,15,
4404cbf9,11,8,15,61.111111111111114
american/am0291/Z300154521,16,10,17,
c6eca50a,9,4,17,42.85714285714286
american/am0313/Z200154945,10,8,11,
9c4b0da1,0,0,11,41.269841269841265
american/am0313/Z200154945,10,8,11,
3f864514,8,6,11,44.776119402985074
american/am0313/Z200155620,10,8,11,
6aca0f55,10,9,11,47.61904761904761
american/am0313/Z400155176,11,8,11,
6d692419,4,2,11,44.15584415584416
american/am0313/Z400155243,9,8,13,
1143a0a3,8,4,13,45.78313253012048
american/am0313/Z400155593,9,8,11,
28b985e4,5,5,10,46.51162790697675
american/am0338/Z200155638,9,8,15,
0cb9690a,12,5,15,46.37681159420289
american/am0338/Z200155907,8,6,11,
bf5ddc0f,9,8,11,47.36842105263158
american/am0338/Z200155907,8,6,11,
43ea644b,10,9,11,45.070422535211264
american/am0338/Z200155907,8,6,11,
49ad6225,4,2,11,47.76119402985075
american/am0338/Z200155907,8,6,11,
f2c76227,9,6,11,46.15384615384615
american/am0338/Z200155985,14,14,15,
32f28107,12,6,15,43.58974358974359
american/am0338/Z200156005,14,14,15,
23611820,10,7,15,44.89795918367348
american/am0338/Z200156052,12,10,13,
4943e25d,12,9,13,45.238095238095234
american/am0338/Z200156052,12,10,13,
48b244e4,13,12,13,41.55844155844156
american/am0338/Z200156052,12,10,13,
8611c5d5,10,10,13,41.9753086419753
american/am0338/Z200156090,12,9,13,
18608763,9,8,13,48.27586206896552
american/am0338/Z200156104,3,2,11,
42c79140,9,6,11,53.06122448979591
american/am0338/Z200156111,10,6,15,
25927b27,8,8,15,100.0
american/am0338/Z200156111,10,6,15,
5a1d10d2,14,12,15,74.69879518072288
american/am0338/Z200156303,11,9,11,
f5d0e418,10,9,11,41.463414634146346
american/am0338/Z200156309,9,6,15,
b12f7998,14,12,15,46.913580246913575
american/am0338/Z200156309,9,6,15,
5e2f6096,10,2,15,56.666666666666664
american/am0338/Z200156309,9,6,15,
218c183d,8,4,15,55.81395348837209
american/am0338/Z200156426,8,6,10,
cf700204,10,10,10,46.31578947368421
american/am0338/Z200156426,8,6,10,
9e185493,7,7,10,43.37349397590361
american/am0338/Z200156426,8,6,10,
db68c4b2,8,6,10,54.117647058823536
american/am0338/Z200156426,8,6,10,
1aa05b47,5,0,10,43.37349397590361
american/am0338/Z200156426,8,6,10,
e97e37af,8,4,10,38.55421686746988
american/am0338/Z200157093,15,12,15,
2635275b,9,6,15,67.44186046511628
american/am0338/Z200157113,7,6,10,
8285ef4f,10,6,10,42.666666666666664
american/am0338/Z200157138,14,13,15,
445e9f54,9,4,15,50.0
american/am0338/Z200157156,15,10,15,
20fe5235,13,12,15,48.78048780487805
american/am0338/Z200157156,15,10,15,
2121fc17,14,11,15,47.76119402985075
american/am0338/Z200157156,15,10,15,
aeb730b6,12,8,15,50.0
american/am0338/Z200157164,11,10,15,
71662f0b,15,12,15,47.82608695652174
american/am0338/Z200157225,7,7,10,
46d14f88,10,5,10,44.9438202247191
american/am0338/Z300156497,11,6,15,
9692cde8,14,12,15,49.46236559139785
american/am0338/Z300156568,6,4,11,
31fe854a,10,8,11,44.9438202247191
american/am0338/Z300156568,6,4,11,
a2ec4bbf,11,8,11,62.365591397849464
american/am0338/Z300156568,6,4,11,
74438fda,6,5,11,41.30434782608695
american/am0338/Z300156685,11,6,11,
88b60dfe,10,9,11,46.31578947368421
american/am0338/Z300156764,10,4,15,
0bdcf8b6,11,8,15,42.71844660194175
american/am0338/Z300156764,10,4,15,
1a2f551d,15,13,15,46.7741935483871
american/am0338/Z300156764,10,4,15,
4277599b,7,4,15,44.9438202247191
american/am0338/Z300156764,10,4,15,
95f76655,6,4,14,44.66019417475729
american/am0338/Z300156808,10,4,15,
42913607,12,6,15,43.29896907216495
american/am0338/Z300156808,10,4,15,
702a982f,7,2,15,56.71641791044777
american/am0338/Z300156808,10,4,15,
7420c002,6,6,15,44.680851063829785
american/am0372/Z300157978,0,0,10,
ee44dbc6,8,0,10,44.18604651162791
american/am0372/Z300158062,15,8,15,
c9d00408,14,12,15,46.15384615384615
